title,company,location,urls
"                    Software Engineer .NET, C#, Angular                ",            M&T Bank          ,"            Buffalo, NY          ",https://www.linkedin.com/jobs/view/software-engineer-net-c%23-angular-at-m-t-bank-3048034115?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=ysZzJtNUXwqGHCA%2FVnG6qw%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Data Scientist, Advertising, Advertising                ",            Amazon          ,"            Arlington, VA          ",https://www.linkedin.com/jobs/view/data-scientist-advertising-advertising-at-amazon-3024152304?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=cEFuIQih9EWq1tkt5X9vsA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Data Scientist, Global Marketing                ",            Amazon          ,"            Washington County, OR          ",https://www.linkedin.com/jobs/view/data-scientist-global-marketing-at-amazon-3024117483?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=IrsDvDGaBy6KpMAM36vOEQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Full-Stack Software Engineer, Front End Focus – Application Development (Senior, Lead, or Principal)                ",            Salesforce          ,"            Boston, MA          ",https://www.linkedin.com/jobs/view/full-stack-software-engineer-front-end-focus-%E2%80%93-application-development-senior-lead-or-principal-at-salesforce-3047992864?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=76d4TKvS1iDXSdy5okT7Fw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Full-Stack Software Engineer, Front End Focus – Application Development (Senior, Lead, or Principal)                ",            Salesforce          ,"            Boston, MA          ",https://www.linkedin.com/jobs/view/full-stack-software-engineer-front-end-focus-%E2%80%93-application-development-senior-lead-or-principal-at-salesforce-3047995428?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=rXrL13tPFoymb5AcB6YP0g%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Analytics Data Scientist, Demand Forecasting                ",            Amazon          ,"            New York, NY          ",https://www.linkedin.com/jobs/view/analytics-data-scientist-demand-forecasting-at-amazon-3024119378?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=vy2MCQvcXu8%2BDFOPccMxqg%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Full-Stack Software Engineer, Front End Focus – Application Development (Senior, Lead, or Principal)                ",            Salesforce          ,"            Burlington, MA          ",https://www.linkedin.com/jobs/view/full-stack-software-engineer-front-end-focus-%E2%80%93-application-development-senior-lead-or-principal-at-salesforce-3047994618?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=W36amcwoeVZ2OBUPQZKSXw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
                    Biostatistician                ,            Ardor Global Solutions LLC          ,            United States          ,https://www.linkedin.com/jobs/view/biostatistician-at-ardor-global-solutions-llc-3046552074?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=9VuvgWGjNaujbeEk9TbGJA%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Full-Stack Software Engineer, Front End Focus – Application Development (Senior, Lead, or Principal)                ",            Salesforce          ,"            Columbus, OH          ",https://www.linkedin.com/jobs/view/full-stack-software-engineer-front-end-focus-%E2%80%93-application-development-senior-lead-or-principal-at-salesforce-3047992862?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=B8pyaVayo6iYDPxmB2Y1Ew%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
"                    Full-Stack Software Engineer, Front End Focus – Application Development (Senior, Lead, or Principal)                ",            Salesforce          ,"            New York, United States          ",https://www.linkedin.com/jobs/view/full-stack-software-engineer-front-end-focus-%E2%80%93-application-development-senior-lead-or-principal-at-salesforce-3047996311?refId=g2UjQEDYjpg4cXeKl8o4Og%3D%3D&trackingId=j6HkdHcGxfEEDfzTVefGyA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
